conv_id,utterance_no,Speaker,Utterance,Dialog Act,Preference Profile,Buying Style Profile,Traveler Argumentation Profile,Agent Argumentation Profile
5,1,1,"""Welcome!  I'm so excited to help you plan your dream vacation.  To get started, tell me a little about what you're looking for in a travel package. Are you hoping for a relaxing beach getaway, an adventurous expedition, a cultural immersion, or something else entirely?  Let's work together to create the perfect trip for you!"" 
",Greet_Ask,Adrenaline Rush,1,1,2
5,2,0,"""I'm looking for something that really gets the adrenaline pumping! I want to push my limits, experience some thrills, and come away with a story to tell.  Something that's not your average sightseeing tour - think bungee jumping, whitewater rafting, maybe even a skydiving experience! I'm all about that emotional high."" 
",Elicit_Preference,Adrenaline Rush,1,1,2
5,3,1,"""For the ultimate adventure, I recommend our 'Thrill Seeker' package! It's priced at $54,037 and comes with cozy cottage accommodations, fine dining, and private standard transportation. You'll enjoy an adventure concierge to help you plan your thrills, access to outdoor activities, and personal assistance throughout your trip.  Are you ready to get your adrenaline pumping?""",Inform,Adrenaline Rush,1,1,2
5,4,0,"""I'm really interested in exploring this area, but I'm not sure where to start. Can you tell me more about your adventure concierge services? What kind of experiences do you offer?"" 
",Ask_Clarification-X,Adrenaline Rush,1,1,2
5,5,1,"""Our adventure concierge is like having your own personal guide to all the thrilling activities in the area. They can help you book everything from ziplining and whitewater rafting to rock climbing and cave exploration, making sure you get the most out of your adventurous spirit. They'll even help you tailor activities to your skill level and interests, so you can relax and focus on having fun."" 
",Provide_Clarification_X,Adrenaline Rush,1,1,2
5,6,0,"""I've been looking forward to this tour, but $54037 is a bit out of my budget. I'm hoping we can reach an agreement at $41843. Is there any flexibility in the price?""",Negotiate_Price_Decrease,Adrenaline Rush,1,1,2
5,7,1,"""This package is meticulously crafted to include all the best experiences and offers incredible value for the price.  Considering the high-quality accommodations, unique excursions, and expert guides,  $54,037 is really the minimum we can offer to ensure a truly unforgettable trip. """,Negotiate_Price_NoChange,Adrenaline Rush,1,1,2
5,8,0,"""While I'm very interested in this package,  $54,037 is a bit outside my budget. I'd be happy to discuss a price closer to $41,843.  What options do we have to adjust the itinerary to meet that figure?""",Negotiate_Price_NoChange,Adrenaline Rush,1,1,2
5,9,1,"""Instead of the personal assistance, how about we add a photography tour to capture some stunning memories? It's a great opportunity to explore the local sights and get some incredible shots."" 
",Negotiate_Add_X,Adrenaline Rush,1,1,2
5,10,0,"""Hi, I'm interested in the package. Could you tell me the current price?"" 
",Ask_Price,Adrenaline Rush,1,1,2
5,11,1,"""The current cost of the package is $53,462.  I know that might seem like a lot, but it includes [mention a few key highlights of the package, like specific flights, hotels, activities]. Would you like to discuss how we can tailor this package to fit your budget, or are you interested in learning more about the specific inclusions?""",Tell_Price,Adrenaline Rush,1,1,2
5,12,0,"""I'm not really interested in the photography tour that's included in the package.  Could we remove that and adjust the price accordingly?"" 
",Negotiate_Remove_X,Adrenaline Rush,1,1,2
