conv_id,turn_id,Speaker,Utterance,ABN_Dialog_Act,Traveler Preference Profile,Traveler Buying Style Profile,Traveler Argumentation Profile,Travel Agent Argumentation Profile
15,1,1,"Welcome! It's wonderful to meet you. I'm here to help you plan the perfect trip.  To get started, tell me a little about what you're looking for. What kind of adventure are you dreaming of?  Are you hoping for a relaxing beach getaway, a thrilling city exploration, or maybe something completely different?  Let's chat about your ideal vacation!",Greet_Ask,Sight Seeker,Quality-concerned,Disagreeable,Open-minded
15,2,0,"I'm not one for just lounging around on vacation. I'm always ready to stop for that landmark, event, scenic vista or attraction.  So, I'm thinking a tour package that packs in as much sightseeing as possible.  We're talking historic buildings, breathtaking landscapes, maybe a local festival or two - the more the merrier! Give me a tour with a packed itinerary, and I'll be happy as can be.",Tell_Preference,Sight Seeker,Quality-concerned,Disagreeable,Open-minded
15,3,1,"The 'Sight Seeker' package sounds like a perfect fit for you! For $54,007, you'll enjoy a cozy cottage stay, fine dining experiences, and private transportation.  Plus, you'll have access to incredible amenities like virtual reality experiences, detoxification and mindfulness sessions, and even a personal assistant to help you make the most of your trip.  What do you think?",Inform,Sight Seeker,Quality-concerned,Disagreeable,Open-minded
15,4,0,"Wow, virtual reality experiences! Tell me more about those. I'm always up for something new and immersive. What kind of worlds can I explore and what can I actually do in them?",Ask_Clarification-Y,Sight Seeker,Quality-concerned,Disagreeable,Open-minded
15,5,1,"Our virtual reality experiences are a real game-changer! They allow you to explore incredible destinations and immerse yourself in different cultures without ever leaving the comfort of your resort. It's like stepping into a whole new world, and the details are so realistic you'll feel like you're truly there. Plus, it's a fun and interactive way to learn about the history, art, and nature of your chosen location. It's a unique experience that you won't find anywhere else.",Provide_Clarification_Y,Sight Seeker,Quality-concerned,Disagreeable,Open-minded
15,6,0,"That's a great package, but unfortunately $54007 is a bit out of my budget. Would you be able to work with me on a price of $43274? I'm very interested in this tour and I'm sure we can find a solution that works for both of us.",Negotiate_Price_Decrease,Sight Seeker,Quality-concerned,Disagreeable,Open-minded
15,7,1,"This tour package is meticulously crafted to offer the best possible experience, and at $54,007, it truly represents exceptional value. We've carefully selected every detail, from luxury accommodations to unique activities, to ensure a truly unforgettable journey. While I understand you might be looking for a lower price, I can assure you that this price point reflects the high quality and exclusivity of this package. We're confident that you won't find a better value for this level of experience.",Negotiate_Price_NoChange,Sight Seeker,Quality-concerned,Disagreeable,Open-minded
15,8,0,"I'm a little concerned about the price tag of $54,007 for this package. Could you break down the costs a bit for me so I can see what's included and where I might be able to adjust? I'm really interested in this trip, but I need to make sure it fits within my budget.",Concern_Price,Sight Seeker,Quality-concerned,Disagreeable,Open-minded
15,9,1,"I appreciate you working with me on this, but $43,274 is unfortunately a bit too low to make this package work for us. We can offer you the full experience for $50,475.79, which reflects the true value of the services and destinations included.  This price ensures we can provide you with the high-quality experience you deserve.",Negotiate_Price_Increase,Sight Seeker,Quality-concerned,Disagreeable,Open-minded
15,10,0,"While I'm very interested in this package, $50475.79 is a bit out of my budget. Would you be willing to work with me on a price closer to $43274?",Negotiate_Price_NoChange,Sight Seeker,Quality-concerned,Disagreeable,Open-minded
